RS,BA,OBP,SLG,Year,Team,League
685,.259,.323,.391,2013,ARI,NL
688,.249,.321,.402,2013,ATL,NL
745,.260,.313,.431,2013,BAL,AL
853,.277,.349,.446,2013,BOS,AL
602,.238,.300,.392,2013,CHC,NL
598,.249,.302,.378,2013,CHW,AL
698,.249,.327,.391,2013,CIN,NL
745,.255,.327,.410,2013,CLE,AL
706,.270,.323,.418,2013,COL,NL
796,.283,.346,.434,2013,DET,AL
610,.240,.299,.375,2013,HOU,AL
648,.260,.315,.379,2013,KCR,AL
733,.264,.329,.414,2013,LAA,AL
649,.264,.326,.396,2013,LAD,NL
513,.231,.293,.335,2013,MIA,NL
640,.252,.311,.398,2013,MIL,NL
614,.242,.312,.380,2013,MIN,AL
619,.237,.306,.366,2013,NYM,NL
650,.242,.307,.376,2013,NYY,AL
767,.254,.327,.419,2013,OAK,AL
610,.248,.306,.384,2013,PHI,NL
634,.245,.313,.396,2013,PIT,NL
618,.245,.308,.378,2013,SDP,NL
624,.237,.306,.390,2013,SEA,AL
629,.260,.320,.381,2013,SFG,NL
783,.269,.332,.401,2013,STL,NL
700,.257,.329,.408,2013,TBR,AL
730,.262,.323,.412,2013,TEX,AL
712,.252,.318,.411,2013,TOR,AL
656,.251,.313,.398,2013,WSN,NL
675,.253,.318,.396,2013,,
R,BA,OBP,SLG,2013,,
20255,.253,.318,.396,2013,,
615,.248,.302,.376,2014,ARI,NL
573,.241,.305,.360,2014,ATL,NL
705,.256,.311,.422,2014,BAL,AL
634,.244,.316,.369,2014,BOS,AL
614,.239,.300,.385,2014,CHC,NL
660,.253,.310,.398,2014,CHW,AL
595,.238,.296,.365,2014,CIN,NL
669,.253,.317,.389,2014,CLE,AL
755,.276,.327,.445,2014,COL,NL
757,.277,.331,.426,2014,DET,AL
629,.242,.309,.383,2014,HOU,AL
651,.263,.314,.376,2014,KCR,AL
773,.259,.322,.406,2014,LAA,AL
718,.265,.333,.406,2014,LAD,NL
645,.253,.317,.378,2014,MIA,NL
650,.250,.311,.397,2014,MIL,NL
715,.254,.324,.389,2014,MIN,AL
629,.239,.308,.364,2014,NYM,NL
633,.245,.307,.380,2014,NYY,AL
729,.244,.320,.381,2014,OAK,AL
619,.242,.302,.363,2014,PHI,NL
682,.259,.330,.404,2014,PIT,NL
535,.226,.292,.342,2014,SDP,NL
634,.244,.300,.376,2014,SEA,AL
665,.255,.311,.388,2014,SFG,NL
619,.253,.320,.369,2014,STL,NL
612,.247,.317,.367,2014,TBR,AL
637,.256,.314,.375,2014,TEX,AL
723,.259,.323,.414,2014,TOR,AL
686,.253,.321,.393,2014,WSN,NL
659,.251,.314,.386,2014,,
R,BA,OBP,SLG,2014,,
19761,.251,.314,.386,2014,,
720,.264,.324,.414,2015,ARI,NL
573,.251,.314,.359,2015,ATL,NL
713,.250,.307,.421,2015,BAL,AL
748,.265,.325,.415,2015,BOS,AL
689,.244,.321,.398,2015,CHC,NL
622,.250,.306,.380,2015,CHW,AL
640,.248,.312,.394,2015,CIN,NL
669,.256,.325,.401,2015,CLE,AL
737,.265,.315,.432,2015,COL,NL
689,.270,.328,.420,2015,DET,AL
729,.250,.315,.437,2015,HOU,AL
724,.269,.322,.412,2015,KCR,AL
661,.246,.307,.396,2015,LAA,AL
667,.250,.326,.413,2015,LAD,NL
613,.260,.310,.384,2015,MIA,NL
655,.251,.307,.393,2015,MIL,NL
696,.247,.305,.399,2015,MIN,AL
683,.244,.312,.400,2015,NYM,NL
764,.251,.323,.421,2015,NYY,AL
694,.251,.312,.395,2015,OAK,AL
626,.249,.303,.382,2015,PHI,NL
697,.260,.323,.396,2015,PIT,NL
650,.243,.300,.385,2015,SDP,NL
656,.249,.311,.411,2015,SEA,AL
696,.267,.326,.406,2015,SFG,NL
