Team,Year,Playoffs,RankSeason,RankPlayoffs
BOS,2013,1,1,1
TBR,2013,1,6,4
BAL,2013,0,,
NYY,2013,0,,
TOR,2013,0,,
DET,2013,1,4,3
CLE,2013,1,5,5
KCR,2013,0,,
MIN,2013,0,,
CHW,2013,0,,
OAK,2013,1,2,4
TEX,2013,0,,
LAA,2013,0,,
SEA,2013,0,,
HOU,2013,0,,
ATL,2013,1,2,4
WSN,2013,0,,
NYM,2013,0,,
PHI,2013,0,,
MIA,2013,0,,
STL,2013,1,1,2
PIT,2013,1,3,4
CIN,2013,1,7,5
MIL,2013,0,,
CHC,2013,0,,
LAD,2013,1,5,3
ARI,2013,0,,
SDP,2013,0,,
SFG,2013,0,,
COL,2013,0,,
BAL,2014,1,2,3
NYY,2014,0,,
TOR,2014,0,,
TBR,2014,0,,
BOS,2014,0,,
DET,2014,1,4,4
KCR,2014,1,5,2
CLE,2014,0,,
CHW,2014,0,,
MIN,2014,0,,
LAA,2014,1,1,4
OAK,2014,1,7,5
SEA,2014,0,,
HOU,2014,0,,
TEX,2014,0,,
WSN,2014,1,2,4
ATL,2014,0,,
NYM,2014,0,,
MIA,2014,0,,
PHI,2014,0,,
STL,2014,1,4,3
PIT,2014,1,6,5
MIL,2014,0,,
CIN,2014,0,,
CHC,2014,0,,
LAD,2014,1,3,4
SFG,2014,1,6,1
SDP,2014,0,,
COL,2014,0,,
ARI,2014,0,,
TOR,2015,1,5,3
NYY,2015,1,9,5
BAL,2015,0,,
TBR,2015,0,,
BOS,2015,0,,
KCR,2015,1,4,1
MIN,2015,0,,
CLE,2015,0,,
CHW,2015,0,,
DET,2015,0,,
TEX,2015,1,8,4
HOU,2015,1,10,4
LAA,2015,0,,
SEA,2015,0,,
OAK,2015,0,,
NYM,2015,1,7,2
WSN,2015,0,,
MIA,2015,0,,
ATL,2015,0,,
PHI,2015,0,,
STL,2015,1,1,4
PIT,2015,1,2,5
CHC,2015,1,3,3
MIL,2015,0,,
CIN,2015,0,,
LAD,2015,1,6,4
SFG,2015,0,,
ARI,2015,0,,
SDP,2015,0,,
COL,2015,0,,
BOS,2016,1,4,4
BAL,2016,1,6,5
TOR,2016,1,6,3
NYY,2016,0,,
TBR,2016,0,,
CLE,2016,1,3,2
DET,2016,0,,
KCR,2016,0,,
CHW,2016,0,,
MIN,2016,0,,
TEX,2016,1,2,4
SEA,2016,0,,
HOU,2016,0,,
LAA,2016,0,,
OAK,2016,0,,
WSN,2016,1,2,4
NYM,2016,1,7,5
MIA,2016,0,,
PHI,2016,0,,
ATL,2016,0,,
CHC,2016,1,1,1
STL,2016,0,,
PIT,2016,0,,
MIL,2016,0,,
CIN,2016,0,,
LAD,2016,1,5,3
SFG,2016,1,7,4
COL,2016,0,,
ARI,2016,0,,
SDP,2016,0,,
BOS,2017,1,5,4
NYY,2017,1,7,3
TBR,2017,0,,
TOR,2017,0,,
BAL,2017,0,,
CLE,2017,1,2,4
MIN,2017,1,9,5
KCR,2017,0,,
CHW,2017,0,,
DET,2017,0,,
HOU,2017,1,3,1
LAA,2017,0,,
SEA,2017,0,,
TEX,2017,0,,
OAK,2017,0,,
WSN,2017,1,4,4
MIA,2017,0,,
ATL,2017,0,,
NYM,2017,0,,
PHI,2017,0,,
CHC,2017,1,6,3
MIL,2017,0,,
STL,2017,0,,
PIT,2017,0,,
CIN,2017,0,,
LAD,2017,1,1,2
ARI,2017,1,5,4
COL,2017,1,8,5
