RS,BA,OBP,SLG,Year,Team,League,RA,OOBP,OSLG,W,G
687,0.242,0.304,0.389,2025,WSN,NL,899,0.342,0.443,66,162
798,0.265,0.333,0.427,2025,TOR,AL,721,0.313,0.408,94,162
684,0.234,0.302,0.381,2025,TEX,AL,605,0.295,0.374,81,162
758,0.247,0.316,0.413,2025,DET,AL,691,0.308,0.398,87,162
597,0.237,0.293,0.386,2025,COL,NL,1021,0.362,0.498,43,162
643,0.226,0.296,0.373,2025,CLE,AL,649,0.31,0.384,88,162
716,0.245,0.315,0.391,2025,CIN,NL,681,0.303,0.398,83,162
647,0.232,0.302,0.373,2025,CHW,AL,742,0.328,0.415,60,162
793,0.249,0.32,0.43,2025,CHC,NL,649,0.296,0.401,92,162
786,0.254,0.324,0.421,2025,BOS,AL,676,0.316,0.375,89,162
677,0.235,0.305,0.394,2025,BAL,AL,788,0.326,0.431,75,162
724,0.245,0.32,0.399,2025,ATL,NL,734,0.319,0.408,76,162
733,0.253,0.318,0.431,2025,OAK,AL,817,0.328,0.432,76,162
791,0.251,0.325,0.433,2025,ARI,NL,785,0.318,0.425,80,162
825,0.253,0.327,0.441,2025,LAD,NL,683,0.31,0.386,93,162
673,0.225,0.298,0.397,2025,LAA,AL,837,0.337,0.435,72,162
651,0.247,0.309,0.397,2025,KCR,AL,637,0.306,0.392,82,162
686,0.25,0.315,0.399,2025,HOU,AL,665,0.303,0.393,87,162
714,0.251,0.313,0.401,2025,TBR,AL,683,0.305,0.399,77,162
689,0.245,0.314,0.379,2025,STL,NL,754,0.319,0.414,78,162
705,0.235,0.311,0.386,2025,SFG,NL,684,0.318,0.389,81,162
766,0.244,0.32,0.42,2025,SEA,AL,694,0.305,0.396,90,162
702,0.252,0.321,0.39,2025,SDP,NL,621,0.302,0.37,90,162
583,0.231,0.305,0.35,2025,PIT,NL,645,0.304,0.382,71,162
778,0.258,0.328,0.431,2025,PHI,NL,648,0.304,0.393,96,162
849,0.251,0.332,0.455,2025,NYY,AL,685,0.306,0.379,94,162
766,0.249,0.326,0.427,2025,NYM,NL,715,0.322,0.384,83,162
678,0.238,0.31,0.397,2025,MIN,AL,773,0.318,0.417,70,162
806,0.258,0.332,0.403,2025,MIL,NL,634,0.305,0.372,97,162
709,0.25,0.314,0.393,2025,MIA,NL,798,0.317,0.415,79,162
842,0.258,0.335,0.446,2024,LAD,NL,686,0.304,0.399,98,162
635,0.229,0.301,0.369,2024,LAA,AL,797,0.328,0.415,63,162
735,0.248,0.306,0.403,2024,KCR,AL,644,0.308,0.383,86,162
740,0.262,0.322,0.418,2024,HOU,AL,649,0.307,0.381,88,161
672,0.248,0.312,0.392,2024,STL,NL,719,0.309,0.405,83,162
693,0.239,0.305,0.396,2024,SFG,NL,699,0.319,0.389,80,162
676,0.224,0.311,0.376,2024,SEA,AL,607,0.276,0.374,85,162
760,0.263,0.324,0.42,2024,SDP,NL,669,0.304,0.385,93,162
665,0.234,0.301,0.371,2024,PIT,NL,739,0.321,0.402,76,162
784,0.257,0.325,0.425,2024,PHI,NL,671,0.305,0.397,95,162
643,0.233,0.301,0.393,2024,OAK,AL,764,0.327,0.41,69,162
815,0.248,0.333,0.429,2024,NYY,AL,668,0.309,0.391,94,162
768,0.246,0.319,0.415,2024,NYM,NL,697,0.315,0.373,89,162
742,0.246,0.315,0.411,2024,MIN,AL,735,0.303,0.4,82,162
777,0.248,0.326,0.403,2024,MIL,NL,641,0.306,0.388,93,162
637,0.244,0.3,0.378,2024,MIA,NL,841,0.332,0.428,62,162
660,0.243,0.309,0.375,2024,WSN,NL,764,0.319,0.406,71,162
671,0.241,0.313,0.389,2024,TOR,AL,743,0.314,0.411,74,162
683,0.238,0.305,0.38,2024,TEX,AL,738,0.316,0.403,78,162
604,0.23,0.302,0.366,2024,TBR,AL,663,0.299,0.39,80,162
682,0.234,0.3,0.385,2024,DET,AL,642,0.292,0.372,86,162
682,0.242,0.304,0.4,2024,COL,NL,929,0.354,0.468,61,162
708,0.238,0.307,0.395,2024,CLE,AL,621,0.301,0.395,92,161
699,0.231,0.305,0.388,2024,CIN,NL,694,0.311,0.404,77,162
507,0.221,0.278,0.34,2024,CHW,AL,813,0.337,0.423,41,162
736,0.242,0.317,0.393,2024,CHC,NL,669,0.305,0.386,83,162
751,0.252,0.319,0.423,2024,BOS,AL,747,0.31,0.397,81,162
786,0.25,0.315,0.435,2024,BAL,AL,699,0.303,0.39,91,162
704,0.243,0.309,0.415,2024,ATL,NL,607,0.301,0.372,89,162
886,0.263,0.337,0.44,2024,ARI,NL,788,0.324,0.434,89,162
906,0.257,0.34,0.455,2023,LAD,NL,699,0.301,0.4,100,162
739,0.245,0.317,0.426,2023,LAA,AL,829,0.337,0.422,73,162
676,0.244,0.303,0.398,2023,KCR,AL,859,0.336,0.442,56,162
827,0.259,0.331,0.437,2023,HOU,AL,698,0.316,0.408,90,162
661,0.236,0.305,0.382,2023,DET,AL,740,0.305,0.399,78,162
721,0.249,0.31,0.405,2023,COL,NL,957,0.361,0.486,59,162
758,0.242,0.321,0.413,2023,SEA,AL,659,0.297,0.392,88,162
752,0.244,0.329,0.413,2023,SDP,NL,648,0.314,0.383,82,162
692,0.239,0.315,0.392,2023,PIT,NL,790,0.331,0.413,76,162
796,0.256,0.327,0.438,2023,PHI,NL,715,0.304,0.397,90,162
585,0.223,0.298,0.37,2023,OAK,AL,924,0.355,0.453,50,162
673,0.227,0.304,0.397,2023,NYY,AL,698,0.308,0.396,82,162
717,0.238,0.316,0.407,2023,NYM,NL,729,0.33,0.406,75,162
778,0.243,0.326,0.428,2023,MIN,AL,659,0.299,0.398,87,162
728,0.24,0.319,0.385,2023,MIL,NL,647,0.297,0.385,92,162
666,0.259,0.316,0.405,2023,MIA,NL,723,0.317,0.413,84,162
700,0.254,0.314,0.396,2023,WSN,NL,845,0.346,0.457,71,162
746,0.256,0.329,0.417,2023,TOR,AL,671,0.309,0.403,89,162
881,0.263,0.337,0.452,2023,TEX,AL,716,0.313,0.406,90,162
860,0.26,0.331,0.445,2023,TBR,AL,665,0.294,0.386,99,162
719,0.25,0.326,0.416,2023,STL,NL,829,0.343,0.447,71,162
674,0.235,0.312,0.383,2023,SFG,NL,719,0.311,0.408,79,162
746,0.25,0.322,0.408,2023,ARI,NL,761,0.32,0.429,84,162
947,0.276,0.344,0.501,2023,ATL,NL,716,0.318,0.398,104,162
807,0.255,0.321,0.421,2023,BAL,AL,678,0.307,0.395,101,162
772,0.258,0.324,0.424,2023,BOS,AL,776,0.325,0.433,78,162
819,0.254,0.33,0.421,2023,CHC,NL,723,0.314,0.399,83,162
641,0.238,0.291,0.384,2023,CHW,AL,841,0.337,0.424,61,162
783,0.249,0.327,0.42,2023,CIN,NL,821,0.337,0.443,82,162
662,0.25,0.313,0.381,2023,CLE,AL,697,0.316,0.4,76,162
705,0.241,0.318,0.382,2022,SDP,NL,660,0.301,0.377,89,162
690,0.23,0.315,0.39,2022,SEA,AL,623,0.298,0.389,90,162
716,0.234,0.315,0.39,2022,SFG,NL,697,0.313,0.39,81,162
772,0.252,0.325,0.42,2022,STL,NL,637,0.314,0.382,93,162
666,0.239,0.309,0.377,2022,TBR,AL,614,0.289,0.379,86,162
707,0.239,0.301,0.395,2022,TEX,AL,743,0.325,0.397,68,162
775,0.264,0.329,0.431,2022,TOR,AL,679,0.308,0.399,92,162
603,0.249,0.31,0.377,2022,WSN,NL,855,0.339,0.452,55,162
591,0.222,0.291,0.364,2022,PIT,NL,817,0.337,0.411,62,162
747,0.253,0.317,0.422,2022,PHI,NL,685,0.31,0.391,87,162
568,0.216,0.281,0.346,2022,OAK,AL,770,0.323,0.428,60,162
807,0.241,0.325,0.426,2022,NYY,AL,567,0.285,0.355,99,162
772,0.259,0.332,0.412,2022,NYM,NL,606,0.299,0.377,101,162
696,0.248,0.317,0.401,2022,MIN,AL,684,0.307,0.4,78,162
725,0.235,0.315,0.409,2022,MIL,NL,688,0.302,0.388,86,162
586,0.23,0.294,0.363,2022,MIA,NL,676,0.314,0.406,69,162
847,0.257,0.333,0.442,2022,LAD,NL,513,0.273,0.344,111,162
623,0.233,0.297,0.39,2022,LAA,AL,668,0.306,0.379,73,162
640,0.244,0.306,0.38,2022,KCR,AL,810,0.346,0.425,65,162
737,0.248,0.319,0.424,2022,HOU,AL,518,0.281,0.332,106,162
557,0.231,0.286,0.346,2022,DET,AL,713,0.316,0.393,66,162
698,0.254,0.315,0.398,2022,COL,NL,873,0.34,0.446,68,162
698,0.254,0.316,0.383,2022,CLE,AL,634,0.292,0.373,92,162
648,0.235,0.304,0.372,2022,CIN,NL,815,0.336,0.429,62,162
686,0.256,0.31,0.387,2022,CHW,AL,717,0.312,0.387,81,162
657,0.238,0.311,0.387,2022,CHC,NL,731,0.318,0.414,74,162
735,0.258,0.321,0.409,2022,BOS,AL,787,0.326,0.419,78,162
674,0.236,0.305,0.39,2022,BAL,AL,688,0.317,0.407,83,162
789,0.253,0.317,0.443,2022,ATL,NL,609,0.297,0.354,101,162
702,0.23,0.304,0.385,2022,ARI,NL,740,0.315,0.414,74,162
830,0.244,0.33,0.429,2021,LAD,NL,561,0.28,0.344,106,162
723,0.245,0.31,0.407,2021,LAA,AL,804,0.33,0.41,77,162
686,0.249,0.306,0.396,2021,KCR,AL,788,0.332,0.415,74,162
863,0.267,0.339,0.444,2021,HOU,AL,658,0.306,0.382,95,162
697,0.242,0.308,0.399,2021,DET,AL,756,0.329,0.419,77,162
739,0.249,0.317,0.414,2021,COL,NL,796,0.332,0.435,74,161
717,0.238,0.303,0.407,2021,CLE,AL,727,0.313,0.417,80,162
786,0.249,0.328,0.431,2021,CIN,NL,760,0.327,0.417,83,162
796,0.256,0.336,0.422,2021,CHW,AL,636,0.298,0.381,93,162
705,0.237,0.312,0.407,2021,CHC,NL,839,0.338,0.442,71,162
743,0.238,0.317,0.406,2021,OAK,AL,687,0.309,0.403,86,162
711,0.237,0.322,0.407,2021,NYY,AL,669,0.299,0.389,92,162
636,0.239,0.315,0.391,2021,NYM,NL,668,0.307,0.4,77,162
729,0.241,0.314,0.423,2021,MIN,AL,834,0.32,0.449,73,162
738,0.233,0.317,0.396,2021,MIL,NL,623,0.298,0.358,95,162
623,0.233,0.298,0.372,2021,MIA,NL,701,0.317,0.401,67,162
724,0.258,0.337,0.417,2021,WSN,NL,820,0.329,0.447,65,162
846,0.266,0.33,0.466,2021,TOR,AL,663,0.305,0.407,91,162
625,0.232,0.294,0.375,2021,TEX,AL,815,0.325,0.436,60,162
857,0.243,0.321,0.429,2021,TBR,AL,651,0.294,0.386,100,162
706,0.244,0.313,0.412,2021,STL,NL,672,0.32,0.374,90,162
804,0.249,0.329,0.44,2021,SFG,NL,594,0.291,0.368,107,162
697,0.226,0.303,0.385,2021,SEA,AL,748,0.314,0.417,90,162
729,0.242,0.321,0.401,2021,SDP,NL,708,0.312,0.41,79,162
609,0.236,0.309,0.364,2021,PIT,NL,833,0.341,0.446,61,162
734,0.24,0.318,0.408,2021,PHI,NL,745,0.316,0.414,82,162
679,0.236,0.309,0.382,2021,ARI,NL,893,0.339,0.468,52,162
790,0.244,0.319,0.435,2021,ATL,NL,656,0.308,0.392,88,161
659,0.239,0.304,0.402,2021,BAL,AL,956,0.344,0.473,52,162
829,0.261,0.328,0.449,2021,BOS,AL,749,0.332,0.417,92,162
315,0.247,0.342,0.447,2020,NYY,AL,270,0.305,0.421,33,60
274,0.225,0.322,0.396,2020,OAK,AL,232,0.302,0.392,36,60
306,0.257,0.342,0.439,2020,PHI,NL,311,0.348,0.468,28,60
219,0.22,0.284,0.357,2020,PIT,NL,298,0.332,0.416,19,60
289,0.238,0.328,0.425,2020,TBR,AL,229,0.305,0.391,40,60
224,0.217,0.285,0.364,2020,TEX,AL,312,0.329,0.419,22,60
302,0.255,0.325,0.441,2020,TOR,AL,312,0.339,0.436,32,60
293,0.264,0.336,0.433,2020,WSN,NL,301,0.346,0.466,26,60
325,0.257,0.333,0.466,2020,SDP,NL,241,0.301,0.389,37,60
254,0.226,0.309,0.37,2020,SEA,AL,303,0.333,0.425,27,60
299,0.263,0.335,0.451,2020,SFG,NL,297,0.322,0.41,29,60
