RS,BA,OBP,SLG,Year,Team,League
685,0.259,0.323,0.391,2013,ARI,NL
688,0.249,0.321,0.402,2013,ATL,NL
745,0.26,0.313,0.431,2013,BAL,AL
853,0.277,0.349,0.446,2013,BOS,AL
602,0.238,0.3,0.392,2013,CHC,NL
598,0.249,0.302,0.378,2013,CHW,AL
698,0.249,0.327,0.391,2013,CIN,NL
745,0.255,0.327,0.41,2013,CLE,AL
706,0.27,0.323,0.418,2013,COL,NL
796,0.283,0.346,0.434,2013,DET,AL
610,0.24,0.299,0.375,2013,HOU,AL
648,0.26,0.315,0.379,2013,KCR,AL
733,0.264,0.329,0.414,2013,LAA,AL
649,0.264,0.326,0.396,2013,LAD,NL
513,0.231,0.293,0.335,2013,MIA,NL
640,0.252,0.311,0.398,2013,MIL,NL
614,0.242,0.312,0.38,2013,MIN,AL
619,0.237,0.306,0.366,2013,NYM,NL
650,0.242,0.307,0.376,2013,NYY,AL
767,0.254,0.327,0.419,2013,OAK,AL
610,0.248,0.306,0.384,2013,PHI,NL
634,0.245,0.313,0.396,2013,PIT,NL
618,0.245,0.308,0.378,2013,SDP,NL
624,0.237,0.306,0.39,2013,SEA,AL
629,0.26,0.32,0.381,2013,SFG,NL
783,0.269,0.332,0.401,2013,STL,NL
700,0.257,0.329,0.408,2013,TBR,AL
730,0.262,0.323,0.412,2013,TEX,AL
712,0.252,0.318,0.411,2013,TOR,AL
656,0.251,0.313,0.398,2013,WSN,NL
615,0.248,0.302,0.376,2014,ARI,NL
573,0.241,0.305,0.36,2014,ATL,NL
705,0.256,0.311,0.422,2014,BAL,AL
634,0.244,0.316,0.369,2014,BOS,AL
614,0.239,0.3,0.385,2014,CHC,NL
660,0.253,0.31,0.398,2014,CHW,AL
595,0.238,0.296,0.365,2014,CIN,NL
669,0.253,0.317,0.389,2014,CLE,AL
755,0.276,0.327,0.445,2014,COL,NL
757,0.277,0.331,0.426,2014,DET,AL
629,0.242,0.309,0.383,2014,HOU,AL
651,0.263,0.314,0.376,2014,KCR,AL
773,0.259,0.322,0.406,2014,LAA,AL
718,0.265,0.333,0.406,2014,LAD,NL
645,0.253,0.317,0.378,2014,MIA,NL
650,0.25,0.311,0.397,2014,MIL,NL
715,0.254,0.324,0.389,2014,MIN,AL
629,0.239,0.308,0.364,2014,NYM,NL
633,0.245,0.307,0.38,2014,NYY,AL
729,0.244,0.32,0.381,2014,OAK,AL
619,0.242,0.302,0.363,2014,PHI,NL
682,0.259,0.33,0.404,2014,PIT,NL
535,0.226,0.292,0.342,2014,SDP,NL
634,0.244,0.3,0.376,2014,SEA,AL
665,0.255,0.311,0.388,2014,SFG,NL
619,0.253,0.32,0.369,2014,STL,NL
612,0.247,0.317,0.367,2014,TBR,AL
637,0.256,0.314,0.375,2014,TEX,AL
723,0.259,0.323,0.414,2014,TOR,AL
686,0.253,0.321,0.393,2014,WSN,NL
720,0.264,0.324,0.414,2015,ARI,NL
573,0.251,0.314,0.359,2015,ATL,NL
713,0.25,0.307,0.421,2015,BAL,AL
748,0.265,0.325,0.415,2015,BOS,AL
689,0.244,0.321,0.398,2015,CHC,NL
622,0.25,0.306,0.38,2015,CHW,AL
640,0.248,0.312,0.394,2015,CIN,NL
669,0.256,0.325,0.401,2015,CLE,AL
737,0.265,0.315,0.432,2015,COL,NL
689,0.27,0.328,0.42,2015,DET,AL
729,0.25,0.315,0.437,2015,HOU,AL
724,0.269,0.322,0.412,2015,KCR,AL
661,0.246,0.307,0.396,2015,LAA,AL
667,0.25,0.326,0.413,2015,LAD,NL
613,0.26,0.31,0.384,2015,MIA,NL
655,0.251,0.307,0.393,2015,MIL,NL
696,0.247,0.305,0.399,2015,MIN,AL
683,0.244,0.312,0.4,2015,NYM,NL
764,0.251,0.323,0.421,2015,NYY,AL
694,0.251,0.312,0.395,2015,OAK,AL
626,0.249,0.303,0.382,2015,PHI,NL
697,0.26,0.323,0.396,2015,PIT,NL
650,0.243,0.3,0.385,2015,SDP,NL
656,0.249,0.311,0.411,2015,SEA,AL
696,0.267,0.326,0.406,2015,SFG,NL
647,0.253,0.321,0.394,2015,STL,NL
644,0.252,0.314,0.406,2015,TBR,AL
751,0.257,0.325,0.413,2015,TEX,AL
891,0.269,0.34,0.457,2015,TOR,AL
703,0.251,0.321,0.403,2015,WSN,NL
752,0.261,0.32,0.432,2016,ARI,NL
649,0.255,0.321,0.384,2016,ATL,NL
744,0.256,0.317,0.443,2016,BAL,AL
878,0.282,0.348,0.461,2016,BOS,AL
808,0.256,0.343,0.429,2016,CHC,NL
686,0.257,0.317,0.41,2016,CHW,AL
716,0.256,0.316,0.408,2016,CIN,NL
777,0.262,0.329,0.43,2016,CLE,AL
845,0.275,0.336,0.457,2016,COL,NL
750,0.267,0.331,0.438,2016,DET,AL
724,0.247,0.319,0.417,2016,HOU,AL
675,0.261,0.312,0.4,2016,KCR,AL
717,0.26,0.322,0.405,2016,LAA,AL
725,0.249,0.319,0.409,2016,LAD,NL
655,0.263,0.322,0.394,2016,MIA,NL
671,0.244,0.322,0.407,2016,MIL,NL
722,0.251,0.316,0.421,2016,MIN,AL
671,0.246,0.316,0.417,2016,NYM,NL
680,0.252,0.315,0.405,2016,NYY,AL
653,0.246,0.304,0.395,2016,OAK,AL
610,0.24,0.301,0.384,2016,PHI,NL
729,0.257,0.332,0.402,2016,PIT,NL
686,0.235,0.299,0.39,2016,SDP,NL
768,0.259,0.326,0.43,2016,SEA,AL
715,0.258,0.329,0.398,2016,SFG,NL
779,0.255,0.325,0.442,2016,STL,NL
672,0.243,0.307,0.426,2016,TBR,AL
765,0.262,0.322,0.433,2016,TEX,AL
759,0.248,0.33,0.426,2016,TOR,AL
763,0.256,0.326,0.426,2016,WSN,NL
812,0.254,0.329,0.445,2017,ARI,NL
732,0.263,0.326,0.412,2017,ATL,NL
743,0.26,0.312,0.435,2017,BAL,AL
785,0.258,0.329,0.407,2017,BOS,AL
822,0.255,0.338,0.437,2017,CHC,NL
706,0.256,0.314,0.417,2017,CHW,AL
753,0.253,0.329,0.433,2017,CIN,NL
818,0.263,0.339,0.449,2017,CLE,AL
824,0.273,0.338,0.444,2017,COL,NL
735,0.258,0.324,0.424,2017,DET,AL
896,0.282,0.346,0.478,2017,HOU,AL
702,0.259,0.311,0.42,2017,KCR,AL
710,0.243,0.315,0.397,2017,LAA,AL
770,0.249,0.334,0.437,2017,LAD,NL
778,0.267,0.331,0.431,2017,MIA,NL
732,0.249,0.322,0.429,2017,MIL,NL
815,0.26,0.334,0.434,2017,MIN,AL
735,0.25,0.32,0.434,2017,NYM,NL
858,0.262,0.339,0.447,2017,NYY,AL
739,0.246,0.319,0.436,2017,OAK,AL
690,0.25,0.315,0.409,2017,PHI,NL
668,0.244,0.318,0.386,2017,PIT,NL
604,0.234,0.299,0.393,2017,SDP,NL
750,0.259,0.325,0.424,2017,SEA,AL
639,0.249,0.309,0.38,2017,SFG,NL
761,0.256,0.334,0.426,2017,STL,NL
694,0.245,0.317,0.422,2017,TBR,AL
799,0.244,0.32,0.43,2017,TEX,AL
693,0.24,0.312,0.412,2017,TOR,AL
819,0.266,0.332,0.449,2017,WSN,NL
693,0.235,0.31,0.397,2018,ARI,NL
759,0.257,0.324,0.417,2018,ATL,NL
622,0.239,0.298,0.391,2018,BAL,AL
876,0.268,0.339,0.453,2018,BOS,AL
761,0.258,0.333,0.41,2018,CHC,NL
656,0.241,0.302,0.401,2018,CHW,AL
696,0.254,0.328,0.401,2018,CIN,NL
818,0.259,0.332,0.434,2018,CLE,AL
780,0.256,0.322,0.435,2018,COL,NL
630,0.241,0.3,0.38,2018,DET,AL
797,0.255,0.329,0.425,2018,HOU,AL
638,0.245,0.305,0.392,2018,KCR,AL
721,0.242,0.313,0.413,2018,LAA,AL
804,0.25,0.333,0.442,2018,LAD,NL
589,0.237,0.303,0.357,2018,MIA,NL
754,0.252,0.323,0.424,2018,MIL,NL
738,0.25,0.318,0.405,2018,MIN,AL
676,0.234,0.312,0.389,2018,NYM,NL
851,0.249,0.329,0.451,2018,NYY,AL
813,0.252,0.325,0.439,2018,OAK,AL
677,0.234,0.314,0.393,2018,PHI,NL
692,0.254,0.317,0.407,2018,PIT,NL
617,0.235,0.297,0.38,2018,SDP,NL
677,0.254,0.314,0.408,2018,SEA,AL
603,0.239,0.3,0.368,2018,SFG,NL
759,0.249,0.321,0.409,2018,STL,NL
716,0.258,0.333,0.406,2018,TBR,AL
737,0.24,0.318,0.404,2018,TEX,AL
709,0.244,0.312,0.427,2018,TOR,AL
771,0.254,0.335,0.419,2018,WSN,NL
813,0.252,0.323,0.434,2019,ARI,NL
855,0.258,0.336,0.452,2019,ATL,NL
729,0.246,0.31,0.415,2019,BAL,AL
901,0.269,0.34,0.466,2019,BOS,AL
814,0.252,0.331,0.452,2019,CHC,NL
708,0.261,0.314,0.414,2019,CHW,AL
701,0.244,0.315,0.422,2019,CIN,NL
769,0.25,0.323,0.432,2019,CLE,AL
835,0.265,0.326,0.456,2019,COL,NL
582,0.24,0.294,0.388,2019,DET,AL
920,0.274,0.352,0.495,2019,HOU,AL
691,0.247,0.309,0.401,2019,KCR,AL
769,0.247,0.324,0.422,2019,LAA,AL
886,0.257,0.338,0.472,2019,LAD,NL
615,0.241,0.298,0.375,2019,MIA,NL
769,0.246,0.329,0.438,2019,MIL,NL
939,0.27,0.338,0.494,2019,MIN,AL
791,0.257,0.328,0.442,2019,NYM,NL
943,0.267,0.339,0.49,2019,NYY,AL
845,0.249,0.327,0.448,2019,OAK,AL
774,0.246,0.319,0.427,2019,PHI,NL
758,0.265,0.321,0.42,2019,PIT,NL
682,0.238,0.308,0.41,2019,SDP,NL
758,0.237,0.316,0.424,2019,SEA,AL
678,0.239,0.302,0.392,2019,SFG,NL
764,0.245,0.322,0.415,2019,STL,NL
769,0.254,0.325,0.431,2019,TBR,AL
810,0.248,0.319,0.431,2019,TEX,AL
726,0.236,0.305,0.428,2019,TOR,AL
873,0.265,0.342,0.454,2019,WSN,NL
269,0.241,0.312,0.391,2020,ARI,NL
348,0.268,0.349,0.483,2020,ATL,NL
274,0.258,0.321,0.429,2020,BAL,AL
292,0.265,0.33,0.445,2020,BOS,AL
265,0.22,0.318,0.387,2020,CHC,NL
306,0.261,0.326,0.453,2020,CHW,AL
243,0.212,0.312,0.403,2020,CIN,NL
248,0.228,0.317,0.372,2020,CLE,AL
275,0.257,0.311,0.405,2020,COL,NL
249,0.245,0.303,0.397,2020,DET,AL
279,0.24,0.312,0.408,2020,HOU,AL
248,0.244,0.309,0.402,2020,KCR,AL
294,0.248,0.332,0.43,2020,LAA,AL
349,0.256,0.338,0.483,2020,LAD,NL
263,0.244,0.319,0.384,2020,MIA,NL
247,0.223,0.313,0.389,2020,MIL,NL
