RA,OOBP,OSLG,Year,Team,League
695,0.32,0.411,2013,ARI,NL
548,0.301,0.37,2013,ATL,NL
709,0.321,0.428,2013,BAL,AL
656,0.316,0.393,2013,BOS,AL
689,0.318,0.4,2013,CHC,NL
723,0.322,0.408,2013,CHW,AL
589,0.298,0.384,2013,CIN,NL
662,0.322,0.386,2013,CLE,AL
760,0.34,0.423,2013,COL,NL
624,0.308,0.373,2013,DET,AL
848,0.347,0.445,2013,HOU,AL
601,0.311,0.387,2013,KCR,AL
737,0.328,0.408,2013,LAA,AL
582,0.306,0.365,2013,LAD,NL
646,0.319,0.384,2013,MIA,NL
687,0.317,0.397,2013,MIL,NL
788,0.336,0.434,2013,MIN,AL
684,0.316,0.393,2013,NYM,NL
671,0.318,0.413,2013,NYY,AL
625,0.299,0.379,2013,OAK,AL
749,0.331,0.415,2013,PHI,NL
577,0.309,0.341,2013,PIT,NL
700,0.322,0.403,2013,SDP,NL
754,0.319,0.417,2013,SEA,AL
691,0.32,0.39,2013,SFG,NL
596,0.311,0.368,2013,STL,NL
646,0.305,0.381,2013,TBR,AL
636,0.313,0.387,2013,TEX,AL
756,0.324,0.426,2013,TOR,AL
626,0.305,0.379,2013,WSN,NL
742,0.326,0.414,2014,ARI,NL
597,0.312,0.37,2014,ATL,NL
593,0.308,0.382,2014,BAL,AL
715,0.321,0.409,2014,BOS,AL
707,0.318,0.376,2014,CHC,NL
758,0.337,0.401,2014,CHW,AL
612,0.309,0.383,2014,CIN,NL
653,0.312,0.385,2014,CLE,AL
818,0.342,0.443,2014,COL,NL
705,0.321,0.401,2014,DET,AL
723,0.323,0.396,2014,HOU,AL
624,0.31,0.377,2014,KCR,AL
630,0.305,0.351,2014,LAA,AL
617,0.3,0.376,2014,LAD,NL
674,0.323,0.39,2014,MIA,NL
657,0.307,0.393,2014,MIL,NL
777,0.33,0.428,2014,MIN,AL
618,0.315,0.382,2014,NYM,NL
664,0.305,0.395,2014,NYY,AL
572,0.29,0.356,2014,OAK,AL
687,0.321,0.387,2014,PHI,NL
631,0.318,0.371,2014,PIT,NL
577,0.304,0.362,2014,SDP,NL
554,0.295,0.356,2014,SEA,AL
614,0.297,0.382,2014,SFG,NL
603,0.308,0.366,2014,STL,NL
625,0.3,0.362,2014,TBR,AL
773,0.336,0.428,2014,TEX,AL
686,0.318,0.407,2014,TOR,AL
555,0.294,0.358,2014,WSN,NL
713,0.322,0.423,2015,ARI,NL
760,0.339,0.426,2015,ATL,NL
693,0.321,0.418,2015,BAL,AL
753,0.327,0.424,2015,BOS,AL
608,0.29,0.372,2015,CHC,NL
701,0.322,0.41,2015,CHW,AL
754,0.328,0.42,2015,CIN,NL
640,0.297,0.386,2015,CLE,AL
844,0.353,0.461,2015,COL,NL
803,0.33,0.444,2015,DET,AL
618,0.299,0.382,2015,HOU,AL
641,0.314,0.396,2015,KCR,AL
675,0.313,0.396,2015,LAA,AL
595,0.297,0.372,2015,LAD,NL
678,0.322,0.396,2015,MIA,NL
737,0.329,0.422,2015,MIL,NL
700,0.321,0.418,2015,MIN,AL
613,0.296,0.377,2015,NYM,NL
698,0.316,0.406,2015,NYY,AL
729,0.316,0.4,2015,OAK,AL
809,0.341,0.445,2015,PHI,NL
596,0.311,0.361,2015,PIT,NL
731,0.321,0.414,2015,SDP,NL
726,0.322,0.412,2015,SEA,AL
627,0.305,0.395,2015,SFG,NL
525,0.31,0.366,2015,STL,NL
642,0.304,0.385,2015,TBR,AL
733,0.328,0.419,2015,TEX,AL
670,0.304,0.403,2015,TOR,AL
635,0.301,0.384,2015,WSN,NL
890,0.348,0.454,2016,ARI,NL
779,0.328,0.416,2016,ATL,NL
715,0.328,0.421,2016,BAL,AL
694,0.314,0.397,2016,BOS,AL
556,0.285,0.348,2016,CHC,NL
715,0.326,0.419,2016,CHW,AL
854,0.345,0.456,2016,CIN,NL
676,0.304,0.407,2016,CLE,AL
860,0.345,0.446,2016,COL,NL
721,0.32,0.421,2016,DET,AL
701,0.314,0.424,2016,HOU,AL
712,0.327,0.423,2016,KCR,AL
727,0.334,0.44,2016,LAA,AL
638,0.298,0.375,2016,LAD,NL
682,0.329,0.394,2016,MIA,NL
733,0.333,0.426,2016,MIL,NL
889,0.34,0.466,2016,MIN,AL
617,0.311,0.395,2016,NYM,NL
702,0.31,0.424,2016,NYY,AL
761,0.322,0.422,2016,OAK,AL
796,0.325,0.448,2016,PHI,NL
758,0.336,0.436,2016,PIT,NL
770,0.33,0.422,2016,SDP,NL
707,0.314,0.425,2016,SEA,AL
631,0.303,0.392,2016,SFG,NL
712,0.32,0.402,2016,STL,NL
713,0.318,0.416,2016,TBR,AL
757,0.329,0.424,2016,TEX,AL
666,0.305,0.398,2016,TOR,AL
612,0.3,0.376,2016,WSN,NL
659,0.309,0.398,2017,ARI,NL
821,0.339,0.438,2017,ATL,NL
841,0.342,0.458,2017,BAL,AL
668,0.306,0.406,2017,BOS,AL
695,0.315,0.398,2017,CHC,NL
820,0.337,0.45,2017,CHW,AL
869,0.345,0.465,2017,CIN,NL
564,0.294,0.38,2017,CLE,AL
757,0.332,0.439,2017,COL,NL
894,0.348,0.463,2017,DET,AL
700,0.313,0.407,2017,HOU,AL
791,0.331,0.434,2017,KCR,AL
709,0.314,0.429,2017,LAA,AL
580,0.29,0.38,2017,LAD,NL
822,0.344,0.432,2017,MIA,NL
697,0.326,0.414,2017,MIL,NL
788,0.33,0.446,2017,MIN,AL
863,0.345,0.448,2017,NYM,NL
660,0.298,0.382,2017,NYY,AL
826,0.327,0.439,2017,OAK,AL
782,0.333,0.447,2017,PHI,NL
731,0.33,0.431,2017,PIT,NL
816,0.333,0.441,2017,SDP,NL
772,0.318,0.435,2017,SEA,AL
776,0.331,0.438,2017,SFG,NL
705,0.32,0.411,2017,STL,NL
704,0.309,0.403,2017,TBR,AL
816,0.335,0.434,2017,TEX,AL
784,0.326,0.429,2017,TOR,AL
672,0.308,0.396,2017,WSN,NL
644,0.31,0.388,2018,ARI,NL
657,0.314,0.37,2018,ATL,NL
892,0.349,0.471,2018,BAL,AL
647,0.309,0.39,2018,BOS,AL
645,0.323,0.376,2018,CHC,NL
848,0.34,0.422,2018,CHW,AL
819,0.332,0.45,2018,CIN,NL
648,0.3,0.414,2018,CLE,AL
745,0.319,0.417,2018,COL,NL
796,0.323,0.439,2018,DET,AL
534,0.282,0.358,2018,HOU,AL
833,0.342,0.446,2018,KCR,AL
722,0.322,0.415,2018,LAA,AL
610,0.29,0.379,2018,LAD,NL
809,0.333,0.424,2018,MIA,NL
659,0.309,0.387,2018,MIL,NL
775,0.332,0.423,2018,MIN,AL
707,0.313,0.398,2018,NYM,NL
669,0.304,0.39,2018,NYY,AL
674,0.301,0.392,2018,OAK,AL
728,0.316,0.407,2018,PHI,NL
693,0.319,0.407,2018,PIT,NL
767,0.324,0.417,2018,SDP,NL
711,0.308,0.418,2018,SEA,AL
699,0.318,0.404,2018,SFG,NL
691,0.324,0.378,2018,STL,NL
646,0.3,0.377,2018,TBR,AL
848,0.335,0.464,2018,TEX,AL
832,0.335,0.446,2018,TOR,AL
682,0.311,0.411,2018,WSN,NL
743,0.32,0.432,2019,ARI,NL
743,0.329,0.419,2019,ATL,NL
981,0.342,0.497,2019,BAL,AL
828,0.33,0.431,2019,BOS,AL
717,0.323,0.414,2019,CHC,NL
832,0.337,0.452,2019,CHW,AL
711,0.31,0.41,2019,CIN,NL
657,0.304,0.419,2019,CLE,AL
958,0.348,0.492,2019,COL,NL
915,0.342,0.478,2019,DET,AL
640,0.283,0.397,2019,HOU,AL
869,0.348,0.456,2019,KCR,AL
868,0.331,0.459,2019,LAA,AL
613,0.282,0.379,2019,LAD,NL
808,0.329,0.435,2019,MIA,NL
766,0.321,0.425,2019,MIL,NL
754,0.316,0.419,2019,MIN,AL
737,0.317,0.418,2019,NYM,NL
739,0.314,0.439,2019,NYY,AL
680,0.308,0.404,2019,OAK,AL
794,0.332,0.453,2019,PHI,NL
911,0.343,0.47,2019,PIT,NL
789,0.315,0.43,2019,SDP,NL
893,0.326,0.469,2019,SEA,AL
773,0.318,0.428,2019,SFG,NL
662,0.314,0.397,2019,STL,NL
656,0.294,0.386,2019,TBR,AL
878,0.342,0.464,2019,TEX,AL
828,0.337,0.451,2019,TOR,AL
724,0.314,0.412,2019,WSN,NL
295,0.336,0.462,2020,ARI,NL
288,0.329,0.408,2020,ATL,NL
294,0.319,0.421,2020,BAL,AL
351,0.365,0.484,2020,BOS,AL
240,0.302,0.4,2020,CHC,NL
246,0.309,0.379,2020,CHW,AL
243,0.303,0.374,2020,CIN,NL
209,0.288,0.378,2020,CLE,AL
353,0.353,0.477,2020,COL,NL
318,0.34,0.464,2020,DET,AL
275,0.322,0.407,2020,HOU,AL
272,0.332,0.415,2020,KCR,AL
321,0.316,0.43,2020,LAA,AL
213,0.272,0.355,2020,LAD,NL
304,0.343,0.455,2020,MIA,NL
264,0.307,0.385,2020,MIL,NL
215,0.301,0.372,2020,MIN,AL
308,0.336,0.438,2020,NYM,NL
270,0.305,0.421,2020,NYY,AL
232,0.302,0.392,2020,OAK,AL
311,0.348,0.468,2020,PHI,NL
298,0.332,0.416,2020,PIT,NL
241,0.301,0.389,2020,SDP,NL
303,0.333,0.425,2020,SEA,AL
297,0.322,0.41,2020,SFG,NL
229,0.306,0.38,2020,STL,NL
229,0.305,0.391,2020,TBR,AL
312,0.329,0.419,2020,TEX,AL
312,0.339,0.436,2020,TOR,AL
301,0.346,0.466,2020,WSN,NL
893,0.339,0.468,2021,ARI,NL
656,0.308,0.392,2021,ATL,NL
956,0.344,0.473,2021,BAL,AL
749,0.332,0.417,2021,BOS,AL
839,0.338,0.442,2021,CHC,NL
636,0.298,0.381,2021,CHW,AL
760,0.327,0.417,2021,CIN,NL
727,0.313,0.417,2021,CLE,AL
796,0.332,0.435,2021,COL,NL
756,0.329,0.419,2021,DET,AL
658,0.306,0.382,2021,HOU,AL
788,0.332,0.415,2021,KCR,AL
804,0.33,0.41,2021,LAA,AL
561,0.28,0.344,2021,LAD,NL
701,0.317,0.401,2021,MIA,NL
623,0.298,0.358,2021,MIL,NL
834,0.32,0.449,2021,MIN,AL
668,0.307,0.4,2021,NYM,NL
669,0.299,0.389,2021,NYY,AL
687,0.309,0.403,2021,OAK,AL
745,0.316,0.414,2021,PHI,NL
833,0.341,0.446,2021,PIT,NL
708,0.312,0.41,2021,SDP,NL
748,0.314,0.417,2021,SEA,AL
594,0.291,0.368,2021,SFG,NL
672,0.32,0.374,2021,STL,NL
651,0.294,0.386,2021,TBR,AL
815,0.325,0.436,2021,TEX,AL
663,0.305,0.407,2021,TOR,AL
820,0.329,0.447,2021,WSN,NL
740,0.315,0.414,2022,ARI,NL
609,0.297,0.354,2022,ATL,NL
688,0.317,0.407,2022,BAL,AL
787,0.326,0.419,2022,BOS,AL
731,0.318,0.414,2022,CHC,NL
717,0.312,0.387,2022,CHW,AL
815,0.336,0.429,2022,CIN,NL
634,0.292,0.373,2022,CLE,AL
873,0.34,0.446,2022,COL,NL
713,0.316,0.393,2022,DET,AL
518,0.281,0.332,2022,HOU,AL
810,0.346,0.425,2022,KCR,AL
668,0.306,0.379,2022,LAA,AL
513,0.273,0.344,2022,LAD,NL
676,0.314,0.406,2022,MIA,NL
688,0.302,0.388,2022,MIL,NL
684,0.307,0.4,2022,MIN,AL
606,0.299,0.377,2022,NYM,NL
567,0.285,0.355,2022,NYY,AL
770,0.323,0.428,2022,OAK,AL
685,0.31,0.391,2022,PHI,NL
817,0.337,0.411,2022,PIT,NL
660,0.301,0.377,2022,SDP,NL
623,0.298,0.389,2022,SEA,AL
697,0.313,0.39,2022,SFG,NL
637,0.314,0.382,2022,STL,NL
614,0.289,0.379,2022,TBR,AL
743,0.325,0.397,2022,TEX,AL
679,0.308,0.399,2022,TOR,AL
855,0.339,0.452,2022,WSN,NL
761,0.32,0.429,2023,ARI,NL
716,0.318,0.398,2023,ATL,NL
678,0.307,0.395,2023,BAL,AL
776,0.325,0.433,2023,BOS,AL
723,0.314,0.399,2023,CHC,NL
841,0.337,0.424,2023,CHW,AL
821,0.337,0.443,2023,CIN,NL
697,0.316,0.4,2023,CLE,AL
957,0.361,0.486,2023,COL,NL
740,0.305,0.399,2023,DET,AL
698,0.316,0.408,2023,HOU,AL
859,0.336,0.442,2023,KCR,AL
829,0.337,0.422,2023,LAA,AL
699,0.301,0.4,2023,LAD,NL
723,0.317,0.413,2023,MIA,NL
647,0.297,0.385,2023,MIL,NL
659,0.299,0.398,2023,MIN,AL
729,0.33,0.406,2023,NYM,NL
698,0.308,0.396,2023,NYY,AL
924,0.355,0.453,2023,OAK,AL
715,0.304,0.397,2023,PHI,NL
790,0.331,0.413,2023,PIT,NL
648,0.314,0.383,2023,SDP,NL
659,0.297,0.392,2023,SEA,AL
719,0.311,0.408,2023,SFG,NL
829,0.343,0.447,2023,STL,NL
665,0.294,0.386,2023,TBR,AL
716,0.313,0.406,2023,TEX,AL
671,0.309,0.403,2023,TOR,AL
845,0.346,0.457,2023,WSN,NL
788,0.324,0.434,2024,ARI,NL
607,0.301,0.372,2024,ATL,NL
699,0.303,0.39,2024,BAL,AL
747,0.31,0.397,2024,BOS,AL
669,0.305,0.386,2024,CHC,NL
813,0.337,0.423,2024,CHW,AL
694,0.311,0.404,2024,CIN,NL
621,0.301,0.395,2024,CLE,AL
929,0.354,0.468,2024,COL,NL
642,0.292,0.372,2024,DET,AL
649,0.307,0.381,2024,HOU,AL
644,0.308,0.383,2024,KCR,AL
797,0.328,0.415,2024,LAA,AL
686,0.304,0.399,2024,LAD,NL
841,0.332,0.428,2024,MIA,NL
641,0.306,0.388,2024,MIL,NL
735,0.303,0.4,2024,MIN,AL
697,0.315,0.373,2024,NYM,NL
668,0.309,0.391,2024,NYY,AL
764,0.327,0.41,2024,OAK,AL
671,0.305,0.397,2024,PHI,NL
739,0.321,0.402,2024,PIT,NL
669,0.304,0.385,2024,SDP,NL
607,0.276,0.374,2024,SEA,AL
699,0.319,0.389,2024,SFG,NL
719,0.309,0.405,2024,STL,NL
663,0.299,0.39,2024,TBR,AL
738,0.316,0.403,2024,TEX,AL
743,0.314,0.411,2024,TOR,AL
764,0.319,0.406,2024,WSN,NL
785,0.318,0.425,2025,ARI,NL
817,0.328,0.432,2025,OAK,AL
734,0.319,0.408,2025,ATL,NL
788,0.326,0.431,2025,BAL,AL
676,0.316,0.375,2025,BOS,AL
649,0.296,0.401,2025,CHC,NL
742,0.328,0.415,2025,CHW,AL
681,0.303,0.398,2025,CIN,NL
649,0.31,0.384,2025,CLE,AL
1021,0.362,0.498,2025,COL,NL
691,0.308,0.398,2025,DET,AL
665,0.303,0.393,2025,HOU,AL
637,0.306,0.392,2025,KCR,AL
837,0.337,0.435,2025,LAA,AL
683,0.31,0.386,2025,LAD,NL
798,0.317,0.415,2025,MIA,NL
634,0.305,0.372,2025,MIL,NL
773,0.318,0.417,2025,MIN,AL
715,0.322,0.384,2025,NYM,NL
685,0.306,0.379,2025,NYY,AL
648,0.304,0.393,2025,PHI,NL
645,0.304,0.382,2025,PIT,NL
621,0.302,0.37,2025,SDP,NL
694,0.305,0.396,2025,SEA,AL
684,0.318,0.389,2025,SFG,NL
754,0.319,0.414,2025,STL,NL
683,0.305,0.399,2025,TBR,AL
605,0.295,0.374,2025,TEX,AL
721,0.313,0.408,2025,TOR,AL
899,0.342,0.443,2025,WSN,NL
