RS,BA,OBP,SLG,Year,Team,League,RA,OOBP,OSLG,W,G,Playoffs,RankSeason,RankPlayoffs
687,.242,.304,.389,2025,WSN,NL,899,.342,.443,66,162,0,,
798,.265,.333,.427,2025,TOR,AL,721,.313,.408,94,162,1,3.0,2.0
684,.234,.302,.381,2025,TEX,AL,605,.295,.374,81,162,0,,
758,.247,.316,.413,2025,DET,AL,691,.308,.398,87,162,1,9.0,4.0
597,.237,.293,.386,2025,COL,NL,1021,.362,.498,43,162,0,,
643,.226,.296,.373,2025,CLE,AL,649,.310,.384,88,162,1,8.0,5.0
716,.245,.315,.391,2025,CIN,NL,681,.303,.398,83,162,1,10.0,5.0
647,.232,.302,.373,2025,CHW,AL,742,.328,.415,60,162,0,,
793,.249,.320,.430,2025,CHC,NL,649,.296,.401,92,162,1,5.0,4.0
786,.254,.324,.421,2025,BOS,AL,676,.316,.375,89,162,1,7.0,5.0
677,.235,.305,.394,2025,BAL,AL,788,.326,.431,75,162,0,,
724,.245,.320,.399,2025,ATL,NL,734,.319,.408,76,162,0,,
733,.253,.318,.431,2025,OAK,AL,817,.328,.432,76,162,0,,
791,.251,.325,.433,2025,ARI,NL,785,.318,.425,80,162,0,,
825,.253,.327,.441,2025,LAD,NL,683,.310,.386,93,162,1,4.0,1.0
673,.225,.298,.397,2025,LAA,AL,837,.337,.435,72,162,0,,
651,.247,.309,.397,2025,KCR,AL,637,.306,.392,82,162,0,,
686,.250,.315,.399,2025,HOU,AL,665,.303,.393,87,162,0,,
714,.251,.313,.401,2025,TBR,AL,683,.305,.399,77,162,0,,
689,.245,.314,.379,2025,STL,NL,754,.319,.414,78,162,0,,
705,.235,.311,.386,2025,SFG,NL,684,.318,.389,81,162,0,,
766,.244,.320,.420,2025,SEA,AL,694,.305,.396,90,162,1,6.0,3.0
702,.252,.321,.390,2025,SDP,NL,621,.302,.370,90,162,1,6.0,5.0
583,.231,.305,.350,2025,PIT,NL,645,.304,.382,71,162,0,,
778,.258,.328,.431,2025,PHI,NL,648,.304,.393,96,162,1,2.0,4.0
849,.251,.332,.455,2025,NYY,AL,685,.306,.379,94,162,1,3.0,4.0
766,.249,.326,.427,2025,NYM,NL,715,.322,.384,83,162,0,,
678,.238,.310,.397,2025,MIN,AL,773,.318,.417,70,162,0,,
806,.258,.332,.403,2025,MIL,NL,634,.305,.372,97,162,1,1.0,3.0
709,.250,.314,.393,2025,MIA,NL,798,.317,.415,79,162,0,,
842,.258,.335,.446,2024,LAD,NL,686,.304,.399,98,162,1,1.0,1.0
635,.229,.301,.369,2024,LAA,AL,797,.328,.415,63,162,0,,
735,.248,.306,.403,2024,KCR,AL,644,.308,.383,86,162,1,9.0,4.0
740,.262,.322,.418,2024,HOU,AL,649,.307,.381,88,161,1,8.0,5.0
672,.248,.312,.392,2024,STL,NL,719,.309,.405,83,162,0,,
693,.239,.305,.396,2024,SFG,NL,699,.319,.389,80,162,0,,
676,.224,.311,.376,2024,SEA,AL,607,.276,.374,85,162,0,,
760,.263,.324,.420,2024,SDP,NL,669,.304,.385,93,162,1,4.0,4.0
665,.234,.301,.371,2024,PIT,NL,739,.321,.402,76,162,0,,
784,.257,.325,.425,2024,PHI,NL,671,.305,.397,95,162,1,2.0,4.0
643,.233,.301,.393,2024,OAK,AL,764,.327,.410,69,162,0,,
815,.248,.333,.429,2024,NYY,AL,668,.309,.391,94,162,1,3.0,2.0
768,.246,.319,.415,2024,NYM,NL,697,.315,.373,89,162,1,7.0,3.0
742,.246,.315,.411,2024,MIN,AL,735,.303,.400,82,162,0,,
777,.248,.326,.403,2024,MIL,NL,641,.306,.388,93,162,1,4.0,5.0
637,.244,.300,.378,2024,MIA,NL,841,.332,.428,62,162,0,,
660,.243,.309,.375,2024,WSN,NL,764,.319,.406,71,162,0,,
671,.241,.313,.389,2024,TOR,AL,743,.314,.411,74,162,0,,
683,.238,.305,.380,2024,TEX,AL,738,.316,.403,78,162,0,,
604,.230,.302,.366,2024,TBR,AL,663,.299,.390,80,162,0,,
682,.234,.300,.385,2024,DET,AL,642,.292,.372,86,162,1,9.0,4.0
682,.242,.304,.400,2024,COL,NL,929,.354,.468,61,162,0,,
708,.238,.307,.395,2024,CLE,AL,621,.301,.395,92,161,1,5.0,3.0
699,.231,.305,.388,2024,CIN,NL,694,.311,.404,77,162,0,,
507,.221,.278,.340,2024,CHW,AL,813,.337,.423,41,162,0,,
736,.242,.317,.393,2024,CHC,NL,669,.305,.386,83,162,0,,
751,.252,.319,.423,2024,BOS,AL,747,.310,.397,81,162,0,,
786,.250,.315,.435,2024,BAL,AL,699,.303,.390,91,162,1,6.0,5.0
704,.243,.309,.415,2024,ATL,NL,607,.301,.372,89,162,1,7.0,5.0
886,.263,.337,.440,2024,ARI,NL,788,.324,.434,89,162,0,,
906,.257,.340,.455,2023,LAD,NL,699,.301,.400,100,162,1,3.0,4.0
739,.245,.317,.426,2023,LAA,AL,829,.337,.422,73,162,0,,
676,.244,.303,.398,2023,KCR,AL,859,.336,.442,56,162,0,,
827,.259,.331,.437,2023,HOU,AL,698,.316,.408,90,162,1,6.0,3.0
661,.236,.305,.382,2023,DET,AL,740,.305,.399,78,162,0,,
721,.249,.310,.405,2023,COL,NL,957,.361,.486,59,162,0,,
758,.242,.321,.413,2023,SEA,AL,659,.297,.392,88,162,0,,
752,.244,.329,.413,2023,SDP,NL,648,.314,.383,82,162,0,,
692,.239,.315,.392,2023,PIT,NL,790,.331,.413,76,162,0,,
796,.256,.327,.438,2023,PHI,NL,715,.304,.397,90,162,1,6.0,3.0
585,.223,.298,.370,2023,OAK,AL,924,.355,.453,50,162,0,,
673,.227,.304,.397,2023,NYY,AL,698,.308,.396,82,162,0,,
717,.238,.316,.407,2023,NYM,NL,729,.330,.406,75,162,0,,
778,.243,.326,.428,2023,MIN,AL,659,.299,.398,87,162,1,8.0,4.0
728,.240,.319,.385,2023,MIL,NL,647,.297,.385,92,162,1,5.0,5.0
666,.259,.316,.405,2023,MIA,NL,723,.317,.413,84,162,1,9.0,5.0
700,.254,.314,.396,2023,WSN,NL,845,.346,.457,71,162,0,,
746,.256,.329,.417,2023,TOR,AL,671,.309,.403,89,162,1,7.0,5.0
881,.263,.337,.452,2023,TEX,AL,716,.313,.406,90,162,1,6.0,1.0
860,.260,.331,.445,2023,TBR,AL,665,.294,.386,99,162,1,4.0,5.0
719,.250,.326,.416,2023,STL,NL,829,.343,.447,71,162,0,,
674,.235,.312,.383,2023,SFG,NL,719,.311,.408,79,162,0,,
746,.250,.322,.408,2023,ARI,NL,761,.320,.429,84,162,1,9.0,2.0
947,.276,.344,.501,2023,ATL,NL,716,.318,.398,104,162,1,1.0,4.0
807,.255,.321,.421,2023,BAL,AL,678,.307,.395,101,162,1,2.0,4.0
772,.258,.324,.424,2023,BOS,AL,776,.325,.433,78,162,0,,
819,.254,.330,.421,2023,CHC,NL,723,.314,.399,83,162,0,,
641,.238,.291,.384,2023,CHW,AL,841,.337,.424,61,162,0,,
783,.249,.327,.420,2023,CIN,NL,821,.337,.443,82,162,0,,
662,.250,.313,.381,2023,CLE,AL,697,.316,.400,76,162,0,,
705,.241,.318,.382,2022,SDP,NL,660,.301,.377,89,162,1,8.0,3.0
690,.230,.315,.390,2022,SEA,AL,623,.298,.389,90,162,1,7.0,4.0
716,.234,.315,.390,2022,SFG,NL,697,.313,.390,81,162,0,,
772,.252,.325,.420,2022,STL,NL,637,.314,.382,93,162,1,5.0,5.0
666,.239,.309,.377,2022,TBR,AL,614,.289,.379,86,162,1,10.0,5.0
707,.239,.301,.395,2022,TEX,AL,743,.325,.397,68,162,0,,
775,.264,.329,.431,2022,TOR,AL,679,.308,.399,92,162,1,6.0,5.0
603,.249,.310,.377,2022,WSN,NL,855,.339,.452,55,162,0,,
591,.222,.291,.364,2022,PIT,NL,817,.337,.411,62,162,0,,
747,.253,.317,.422,2022,PHI,NL,685,.310,.391,87,162,1,9.0,2.0
568,.216,.281,.346,2022,OAK,AL,770,.323,.428,60,162,0,,
807,.241,.325,.426,2022,NYY,AL,567,.285,.355,99,162,1,4.0,3.0
772,.259,.332,.412,2022,NYM,NL,606,.299,.377,101,162,1,3.0,5.0
696,.248,.317,.401,2022,MIN,AL,684,.307,.400,78,162,0,,
725,.235,.315,.409,2022,MIL,NL,688,.302,.388,86,162,0,,
586,.230,.294,.363,2022,MIA,NL,676,.314,.406,69,162,0,,
847,.257,.333,.442,2022,LAD,NL,513,.273,.344,111,162,1,1.0,4.0
623,.233,.297,.390,2022,LAA,AL,668,.306,.379,73,162,0,,
640,.244,.306,.380,2022,KCR,AL,810,.346,.425,65,162,0,,
737,.248,.319,.424,2022,HOU,AL,518,.281,.332,106,162,1,2.0,1.0
557,.231,.286,.346,2022,DET,AL,713,.316,.393,66,162,0,,
698,.254,.315,.398,2022,COL,NL,873,.340,.446,68,162,0,,
698,.254,.316,.383,2022,CLE,AL,634,.292,.373,92,162,1,6.0,4.0
648,.235,.304,.372,2022,CIN,NL,815,.336,.429,62,162,0,,
686,.256,.310,.387,2022,CHW,AL,717,.312,.387,81,162,0,,
657,.238,.311,.387,2022,CHC,NL,731,.318,.414,74,162,0,,
735,.258,.321,.409,2022,BOS,AL,787,.326,.419,78,162,0,,
674,.236,.305,.390,2022,BAL,AL,688,.317,.407,83,162,0,,
789,.253,.317,.443,2022,ATL,NL,609,.297,.354,101,162,1,3.0,4.0
702,.230,.304,.385,2022,ARI,NL,740,.315,.414,74,162,0,,
830,.244,.330,.429,2021,LAD,NL,561,.280,.344,106,162,1,2.0,3.0
723,.245,.310,.407,2021,LAA,AL,804,.330,.410,77,162,0,,
686,.249,.306,.396,2021,KCR,AL,788,.332,.415,74,162,0,,
863,.267,.339,.444,2021,HOU,AL,658,.306,.382,95,162,1,4.0,2.0
697,.242,.308,.399,2021,DET,AL,756,.329,.419,77,162,0,,
739,.249,.317,.414,2021,COL,NL,796,.332,.435,74,161,0,,
717,.238,.303,.407,2021,CLE,AL,727,.313,.417,80,162,0,,
786,.249,.328,.431,2021,CIN,NL,760,.327,.417,83,162,0,,
796,.256,.336,.422,2021,CHW,AL,636,.298,.381,93,162,1,5.0,4.0
705,.237,.312,.407,2021,CHC,NL,839,.338,.442,71,162,0,,
743,.238,.317,.406,2021,OAK,AL,687,.309,.403,86,162,0,,
711,.237,.322,.407,2021,NYY,AL,669,.299,.389,92,162,1,6.0,5.0
636,.239,.315,.391,2021,NYM,NL,668,.307,.400,77,162,0,,
729,.241,.314,.423,2021,MIN,AL,834,.320,.449,73,162,0,,
738,.233,.317,.396,2021,MIL,NL,623,.298,.358,95,162,1,4.0,4.0
